"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,72363,"33025","FL","Miami-Fort Lauderdale","Broward","Miramar",100,185500,0.00705754614549403,0.0226019845644983,0.0918187168922896,0.126182544091633,-0.0312058740593129,"2006-09","2006-Q3",267200,-0.305763473053892,"2005-04"
2016-04-30,84612,"60610","IL","Chicago","Cook","Chicago",101,253400,0.00396196513470681,0.00118530225207428,0.0321792260692464,0.00899877572195562,-0.00525154737995925,"2008-03","2008-Q1",278800,-0.0911047345767575,"2005-04"
2016-04-30,71005,"30281","GA","Atlanta","Henry","Stockbridge",102,135900,0.00369276218611521,0.0111607142857143,0.079428117553614,0.0452936578570784,-0.0121686063084008,"2006-12","2006-Q4",157900,-0.139328689043699,"2002-04"
2016-04-30,94820,"85225","AZ","Phoenix","Maricopa","Chandler",103,218800,0.00320953690967446,0.011090573012939,0.0880159124813526,0.113185317719132,-0.017104386316333,"2006-03","2006-Q1",261200,-0.162327718223583,"2005-07"
2016-04-30,95804,"89108","NV","Las Vegas","Clark","Las Vegas",104,148500,0.00202429149797571,0.00746268656716418,0.0887096774193548,0.146697662433556,-0.0502210655860034,"2006-07","2006-Q3",249600,-0.405048076923077,"2004-01"
2016-04-30,62032,"11221","NY","New York","Kings","New York",105,902700,0.00691578360290017,0.0191938579654511,0.175084613381932,0.203453145720494,0.0745309968650425,"2016-04","2016-Q2",902700,0,"2016-04"
2016-04-30,98304,"95608","CA","Sacramento","Sacramento","Carmichael",106,356900,0.00309162450815065,0.0119081372271052,0.0612548319952423,0.0734515432149396,-0.0191879112348557,"2005-11","2005-Q4",445700,-0.19923715503702,"2004-06"
2016-04-30,94890,"85308","AZ","Phoenix","Maricopa","Glendale",107,253600,0.00316455696202532,0.012779552715655,0.0723044397463002,0.0981451560396074,-0.022498080205807,"2006-01","2006-Q1",322400,-0.213399503722084,"2005-05"
2016-04-30,97431,"93722","CA","Fresno","Fresno","Fresno",108,204500,0.00491400491400491,0.0118753092528451,0.0546673543063435,0.0710387405409396,-0.040994207816576,"2006-04","2006-Q2",310800,-0.342020592020592,"2004-05"
2016-04-30,76491,"43055","OH","Columbus","Licking","Newark",109,126500,-0.0276710222905457,-0.0806686046511628,-0.169402495075509,0.0690363326999126,0.0269088085234073,"2015-06","2015-Q2",154100,-0.17910447761194,"2014-08"
2016-04-30,65133,"17603","PA","Lancaster","Lancaster","Lancaster Township",110,137300,0,0.00365497076023392,0.0193021529324425,0.00398007867213623,0.00251065243021054,"2010-01","2010-Q1",143500,-0.043205574912892,"2006-08"
2016-04-30,72347,"33009","FL","Miami-Fort Lauderdale","Broward","Hallandale",111,188300,0.00641368252271513,0.0161899622234215,0.05078125,0.0964953035592262,-0.0355396827782483,"2006-01","2006-Q1",273300,-0.31101353823637,"2004-11"
2016-04-30,79040,"48180","MI","Detroit","Wayne","Taylor",112,81300,-0.00122850122850123,0.018796992481203,0.129166666666667,0.079343082534425,-0.0396961190886852,"2005-08","2005-Q3",124200,-0.345410628019324,"1998-09"
2016-04-30,72362,"33024","FL","Miami-Fort Lauderdale","Broward","Pembroke Pines",113,213100,0.00566304860783389,0.0210828941063728,0.137139807897545,0.113839112825332,-0.02707235426926,"2006-06","2006-Q2",282900,-0.24673029338989,"2005-03"
2016-04-30,84613,"60611","IL","Chicago","Cook","Chicago",114,306700,0.0142195767195767,0.014890800794176,0.0638224072147069,-0.0016223317134797,0.00224461391900843,"2009-05","2009-Q2",343900,-0.108170979936028,"2007-07"
2016-04-30,63776,"14850","NY","Ithaca","Tompkins","Ithaca",115,229200,0.000436490615451768,0.00306345733041575,0.00218627022299956,0.0322125915909228,0.0241739863268013,"2016-04","2016-Q2",229200,0,"2016-04"
